Title,Year,Genres,Production Country,Budget,Revenue,Popularity,Vote Average
Blood Diamond,2006,"Drama, Thriller, Action",Germany,100000000,170877916,12477872,7.4
Blood Diamond,2006,"Drama, Thriller, Action", United States of America,100000000,170877916,12477872,7.4
Eragon,2006,"Fantasy, Action, Adventure, Family",United Kingdom,100000000,249288105,9851133,4.9
Eragon,2006,"Fantasy, Action, Adventure, Family", United States of America,100000000,249288105,9851133,4.9
Eragon,2006,"Fantasy, Action, Adventure, Family", Hungary,100000000,249288105,9851133,4.9
American Gangster,2007,"Drama, Crime",United Kingdom,100000000,266465037,9644542,7.4
American Gangster,2007,"Drama, Crime", United States of America,100000000,266465037,9644542,7.4
Fred Claus,2007,"Action, Comedy, Drama",United States of America,100000000,97838349,5502098,5.5
Land of the Lost,2009,"Adventure, Comedy, Science Fiction",United States of America,100000000,68688831,7642063,5.4
The Taking of Pelham 1 2 3,2009,"Thriller, Drama, Crime",United States of America,100000000,150166126,1509911,6.2
Cloudy with a Chance of Meatballs,2009,"Animation, Comedy, Family",United States of America,100000000,242988466,11665693,6.5
Where the Wild Things Are,2009,"Family, Fantasy",United States of America,100000000,100086793,1236223,6.4
Cutthroat Island,1995,"Action, Adventure",France,98000000,10017322,7284477,5.7
Cutthroat Island,1995,"Action, Adventure", Germany,98000000,10017322,7284477,5.7
Cutthroat Island,1995,"Action, Adventure", Italy,98000000,10017322,7284477,5.7
Cutthroat Island,1995,"Action, Adventure", United States of America,98000000,10017322,7284477,5.7
The Mummy Returns,2001,"Adventure, Action, Fantasy",United States of America,98000000,433013274,16945657,6
The Mask of Zorro,1998,"Action, Adventure",United States of America,95000000,250288523,11348096,6.3
The Road to El Dorado,2000,"Adventure, Animation, Comedy, Family",United States of America,95000000,76432727,8755188,7
Hollow Man,2000,"Action, Science Fiction, Thriller",Germany,95000000,190213455,7912103,5.6
Hollow Man,2000,"Action, Science Fiction, Thriller", United States of America,95000000,190213455,7912103,5.6
Lara Croft Tomb Raider: The Cradle of Life,2003,"Action, Adventure, Fantasy, Thriller",United States of America,95000000,156505388,13076349,5.5
Lara Croft Tomb Raider: The Cradle of Life,2003,"Action, Adventure, Fantasy, Thriller", Germany,95000000,156505388,13076349,5.5
Lara Croft Tomb Raider: The Cradle of Life,2003,"Action, Adventure, Fantasy, Thriller", Japan,95000000,156505388,13076349,5.5
Lara Croft Tomb Raider: The Cradle of Life,2003,"Action, Adventure, Fantasy, Thriller", United Kingdom,95000000,156505388,13076349,5.5
Driven,2001,Action,Australia,94000000,54744738,5310558,4.5
Driven,2001,Action, Canada,94000000,54744738,5310558,4.5
Driven,2001,Action, United States of America,94000000,54744738,5310558,4.5
Finding Nemo,2003,"Animation, Family",United States of America,94000000,940335536,25497794,7.6
The Lord of the Rings: The Return of the King,2003,"Adventure, Fantasy, Action",New Zealand,94000000,1118888979,29324358,8.1
The Lord of the Rings: The Return of the King,2003,"Adventure, Fantasy, Action", United States of America,94000000,1118888979,29324358,8.1
Jurassic Park III,2001,"Adventure, Action, Thriller, Science Fiction",United States of America,93000000,368780809,1,5.7
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Fantasy, Action",New Zealand,93000000,871368364,32070725,8
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Fantasy, Action", United States of America,93000000,871368364,32070725,8
Metropolis,1927,"Drama, Science Fiction",Germany,92620000,650422,14487867,8
Twister,1996,"Action, Adventure, Drama",United States of America,92000000,494471524,8739144,6.1
Charlie's Angels,2000,"Action, Adventure, Comedy, Crime, Thriller",United States of America,92000000,264105545,9774985,5.6
Spy Game,2001,"Action, Crime, Thriller",United Kingdom,92000000,143049560,18186839,6.8
Spy Game,2001,"Action, Crime, Thriller", United States of America,92000000,143049560,18186839,6.8
Black Hawk Down,2001,"Action, History, War",United Kingdom,92000000,172989651,10064446,7.2
Black Hawk Down,2001,"Action, History, War", United States of America,92000000,172989651,10064446,7.2
The Incredibles,2004,"Action, Adventure, Animation, Family",United States of America,92000000,631442092,22220214,7.4
Tropic Thunder,2008,"Action, Comedy",United States of America,92000000,188072649,8980941,6.5
Tropic Thunder,2008,"Action, Comedy", United Kingdom,92000000,188072649,8980941,6.5
Tropic Thunder,2008,"Action, Comedy", Germany,92000000,188072649,8980941,6.5
Die Hard: With a Vengeance,1995,"Action, Thriller",United States of America,90000000,366101666,15138855,6.9
Judge Dredd,1995,Science Fiction,United States of America,90000000,113493481,8184815,5.4
The Devil's Own,1997,"Crime, Thriller, Drama",United States of America,90000000,140807547,10675073,5.9
The Fifth Element,1997,"Adventure, Fantasy, Action, Thriller, Science Fiction",France,90000000,263920180,2430526,7.3
Men in Black,1997,"Action, Adventure, Comedy, Science Fiction",United States of America,90000000,589390539,15781024,6.9
Contact,1997,"Drama, Science Fiction, Mystery",United States of America,90000000,171120329,14374866,7.2
Mulan,1998,"Animation, Family, Adventure",United States of America,90000000,304320254,21180857,7.6
Meet Joe Black,1998,"Fantasy, Drama, Mystery",United States of America,90000000,142940100,14026744,6.9
Enemy of the State,1998,"Action, Drama, Thriller",United States of America,90000000,250649836,12978751,6.7
Babe: Pig in the City,1998,"Adventure, Comedy, Drama, Family, Fantasy",Australia,90000000,69131860,6229629,5.3
Payback,1999,"Drama, Action, Thriller, Crime",United States of America,90000000,161626121,9112008,6.7
The Insider,1999,"Drama, Thriller",United States of America,90000000,60289912,113569,7.3
Toy Story 2,1999,"Animation, Comedy, Family",United States of America,90000000,497366869,17547693,7.3
Supernova,2000,"Horror, Science Fiction, Thriller",Switzerland,90000000,14828081,5496624,4.9
Supernova,2000,"Horror, Science Fiction, Thriller", United States of America,90000000,14828081,5496624,4.9
Mission to Mars,2000,Science Fiction,United States of America,90000000,60874615,9021107,5.7
Gone in Sixty Seconds,2000,"Action, Crime, Thriller",United States of America,90000000,237202299,14091765,6.1
Cast Away,2000,"Adventure, Drama",United States of America,90000000,429632142,21296343,7.5
Rush Hour 2,2001,"Action, Comedy, Crime, Thriller",United States of America,90000000,347325802,8345985,6.4
The Haunted Mansion,2003,"Thriller, Fantasy, Comedy, Family, Mystery",United States of America,90000000,182290266,11605735,5.1
The Stepford Wives,2004,"Action, Comedy, Science Fiction",United States of America,90000000,102000000,1081552,5.4
The Departed,2006,"Drama, Thriller, Crime",Hong Kong,90000000,289847354,18515448,7.9
The Departed,2006,"Drama, Thriller, Crime", United States of America,90000000,289847354,18515448,7.9
Flags of Our Fathers,2006,"War, Drama, History",United States of America,90000000,65900249,9224494,6.7
The Spiderwick Chronicles,2008,"Adventure, Family, Fantasy",United States of America,90000000,162839667,11133784,6.3
You Don't Mess with the Zohan,2008,"Comedy, Action",United States of America,90000000,201596308,13116461,5.5
Ice Age: Dawn of the Dinosaurs,2009,"Animation, Comedy, Family, Adventure",United States of America,90000000,886686817,12980624,6.5
Sherlock Holmes,2009,"Action, Adventure, Crime, Mystery",Germany,90000000,524028679,1568604,7
Sherlock Holmes,2009,"Action, Adventure, Crime, Mystery", United Kingdom,90000000,524028679,1568604,7
Sherlock Holmes,2009,"Action, Adventure, Crime, Mystery", United States of America,90000000,524028679,1568604,7
Cinderella Man,2005,"Romance, Drama, History",United States of America,88000000,108539911,6363884,7.3
The Brothers Grimm,2005,"Adventure, Fantasy, Action, Comedy, Thriller",Czech Republic,88000000,105316267,1566148,5.6
The Brothers Grimm,2005,"Adventure, Fantasy, Action, Comedy, Thriller", United Kingdom,88000000,105316267,1566148,5.6
The Brothers Grimm,2005,"Adventure, Fantasy, Action, Comedy, Thriller", United States of America,88000000,105316267,1566148,5.6
Hannibal,2001,"Crime, Drama, Thriller, Horror",United Kingdom,87000000,351692268,248875,6.4
Hannibal,2001,"Crime, Drama, Thriller, Horror", United States of America,87000000,351692268,248875,6.4
Seabiscuit,2003,"Drama, History",United States of America,87000000,148336445,7851669,6.8
Arthur and the Invisibles,2006,"Adventure, Fantasy, Animation, Family",France,86000000,107944236,11621534,6
Awake,2007,"Thriller, Crime, Mystery",United States of America,86000000,14373825,7076062,6.3
Last Action Hero,1993,"Adventure, Fantasy, Action, Comedy, Family",United States of America,85000000,137298489,9434006,6.1
Hercules,1997,"Animation, Family, Fantasy, Adventure, Comedy, Romance",United States of America,85000000,252712101,14048694,7.3
Air Force One,1997,"Action, Thriller",Germany,85000000,315156409,12173291,6.2
Air Force One,1997,"Action, Thriller", United States of America,85000000,315156409,12173291,6.2
What Dreams May Come,1998,"Drama, Fantasy, Romance",New Zealand,85000000,71485043,11218378,6.8
What Dreams May Come,1998,"Drama, Fantasy, Romance", United States of America,85000000,71485043,11218378,6.8
102 Dalmatians,2000,"Comedy, Family",United States of America,85000000,183611771,7668752,5.1
Ocean's Eleven,2001,"Thriller, Crime",United States of America,85000000,450717150,12114932,7.2
Collateral Damage,2002,"Action, Thriller, Drama",United States of America,85000000,78382433,10175503,5.5
Showtime,2002,"Action, Comedy",Australia,85000000,77741732,4917863,5.3
Showtime,2002,"Action, Comedy", United States of America,85000000,77741732,4917863,5.3
The Rundown,2003,"Adventure, Action, Comedy, Thriller",United States of America,85000000,80916492,8304835,6.4
Bewitched,2005,"Comedy, Fantasy, Romance",United States of America,85000000,131426169,9276085,4.8
Memoirs of a Geisha,2005,"Drama, History, Romance",United States of America,85000000,162242962,7680762,7.3
The Fast and the Furious: Tokyo Drift,2006,"Action, Crime, Drama, Thriller",Japan,85000000,158468292,2238808,6.1
The Fast and the Furious: Tokyo Drift,2006,"Action, Crime, Drama, Thriller", United States of America,85000000,158468292,2238808,6.1
Open Season,2006,"Adventure, Animation, Family",United States of America,85000000,197309027,11744242,6.1
The Holiday,2006,"Comedy, Romance",United Kingdom,85000000,194168700,14043416,6.7
The Holiday,2006,"Comedy, Romance", United States of America,85000000,194168700,14043416,6.7
Charlotte's Web,2006,"Comedy, Family, Fantasy",Germany,85000000,144000000,10254314,5.8
Charlotte's Web,2006,"Comedy, Family, Fantasy", United States of America,85000000,144000000,10254314,5.8
The Good Shepherd,2006,"Drama, Thriller, History",United States of America,85000000,59908565,11057536,6.3
Ocean's Thirteen,2007,"Crime, Thriller",United States of America,85000000,311312624,1216276,6.5
Surf's Up,2007,"Animation, Comedy, Family",United States of America,85000000,149044513,11526339,5.9
I Now Pronounce You Chuck & Larry,2007,"Comedy, Romance",United States of America,85000000,186072214,6645799,5.8
Enchanted,2007,"Comedy, Family, Fantasy, Romance",United States of America,85000000,340487652,11447798,6.6
Hellboy II: The Golden Army,2008,"Adventure, Fantasy, Science Fiction",Germany,85000000,160388063,11928661,6.5
Hellboy II: The Golden Army,2008,"Adventure, Fantasy, Science Fiction", United States of America,85000000,160388063,11928661,6.5
Jumper,2008,"Adventure, Fantasy, Science Fiction",Canada,85000000,222231186,1103897,5.9
Jumper,2008,"Adventure, Fantasy, Science Fiction", United States of America,85000000,222231186,1103897,5.9
Horton Hears a Who!,2008,"Animation, Comedy, Family, Adventure, Fantasy",United States of America,85000000,297138014,8326699,6.3
Fast & Furious,2009,"Action, Crime, Drama, Thriller",United States of America,85000000,363164265,1498902,6.5
It's Complicated,2009,"Comedy, Romance",United States of America,85000000,219103655,9083133,6.2
Nutty Professor II: The Klumps,2000,"Fantasy, Comedy, Romance, Science Fiction",United States of America,84000000,123307945,6671316,4.7
Scooby-Doo,2002,"Mystery, Adventure, Comedy",United States of America,84000000,275650703,8592826,5.4
The Flintstones in Viva Rock Vegas,2000,"Science Fiction, Comedy, Family, Romance",United States of America,83000000,59468275,6053595,4.4
Click,2006,"Comedy, Drama, Fantasy, Romance",United States of America,82500000,237681299,9796552,6
Man on the Moon,1999,"Comedy, Drama, Romance",United States of America,82000000,47434430,13217419,6.9
The 6th Day,2000,Science Fiction,United States of America,82000000,96085477,841311,5.7
The Longest Yard,2005,"Comedy, Drama",United States of America,82000000,190320568,7349843,6.2
Red Cliff,2008,"Adventure, Drama, Action",China,80341000,127814609,11867516,7.1
Mission: Impossible,1996,"Adventure, Action, Thriller",United States of America,80000000,457696359,15793477,6.7
Space Jam,1996,"Animation, Comedy, Drama, Family, Fantasy",United States of America,80000000,250200000,11054251,6.5
Daylight,1996,"Action, Adventure, Thriller",United States of America,80000000,159212469,11995799,5.8
Ransom,1996,"Action, Thriller",United States of America,80000000,309492681,8772188,6.4
The Manchurian Candidate,1962,"Mystery, Thriller",United States of America,80000000,96105910,7991677,7.7
Batman Returns,1992,"Action, Fantasy",United Kingdom,80000000,280000000,15001681,6.6
Batman Returns,1992,"Action, Fantasy", United States of America,80000000,280000000,15001681,6.6
Face/Off,1997,"Action, Crime, Science Fiction, Thriller",United States of America,80000000,245676146,11467391,6.8
Flubber,1997,"Comedy, Family, Science Fiction",United States of America,80000000,177977226,7016942,5.3
The Postman,1997,"Drama, Adventure",United States of America,80000000,17626234,6537407,6.1
Lost in Space,1998,"Adventure, Family, Science Fiction",United States of America,80000000,136159423,12000579,5
Message in a Bottle,1999,"Romance, Drama",United States of America,80000000,118880016,5101392,5.9
Analyze This,1999,"Comedy, Crime",Australia,80000000,176885658,7634017,6.4
Analyze This,1999,"Comedy, Crime", United States of America,80000000,176885658,7634017,6.4
Life,1999,"Comedy, Crime",United States of America,80000000,73345029,7579444,6.4
The Mummy,1999,"Adventure, Action, Fantasy",United States of America,80000000,415885488,23984065,6.6
The Haunting,1999,"Horror, Thriller, Fantasy, Mystery",United States of America,80000000,91188905,8967638,5.2
Fantasia 2000,1999,"Animation, Family, Music",United States of America,80000000,90874570,14972573,7
The Legend of Bagger Vance,2000,"Fantasy, Drama",United States of America,80000000,39459427,9034884,6.4
Red Planet,2000,"Thriller, Action, Science Fiction",Australia,80000000,33463969,8534176,5.4
Red Planet,2000,"Thriller, Action, Science Fiction", United States of America,80000000,33463969,8534176,5.4
Thirteen Days,2000,"Drama, Thriller",United States of America,80000000,34566746,10204559,6.9
Evolution,2001,"Action, Comedy, Science Fiction",United States of America,80000000,98376292,5395127,5.7
The Time Machine,2002,"Science Fiction, Adventure, Action",United States of America,80000000,123729176,8918134,5.8
Spirit: Stallion of the Cimarron,2002,"Western, Animation, Adventure, Comedy, Family",United States of America,80000000,122563539,16724836,7.4
Lilo & Stitch,2002,"Animation, Family",United States of America,80000000,145771527,18469238,7.1
Road to Perdition,2002,"Thriller, Crime, Drama",United States of America,80000000,181001478,13426684,7.3
Bruce Almighty,2003,"Fantasy, Comedy",United States of America,80000000,484572835,15947524,6.4
S.W.A.T.,2003,"Action, Thriller, Crime",United States of America,80000000,116643346,13334952,5.8
Looney Tunes: Back in Action,2003,"Animation, Comedy, Family",Germany,80000000,68514844,13666488,5.6
Looney Tunes: Back in Action,2003,"Animation, Comedy, Family", United States of America,80000000,68514844,13666488,5.6
Timeline,2003,"Action, Adventure, Science Fiction",United States of America,80000000,43935763,6982762,5.4
Something's Gotta Give,2003,"Drama, Comedy, Romance",United States of America,80000000,266728738,8524847,6.3
The Manchurian Candidate,2004,"Drama, Thriller, Mystery",United States of America,80000000,96105964,10796939,6.2
Exorcist: The Beginning,2004,"Horror, Mystery, Thriller",United States of America,80000000,78000586,1302369,4.7
A Sound of Thunder,2005,"Thriller, Science Fiction, Adventure, Action",Czech Republic,80000000,5989640,4980191,4.8
A Sound of Thunder,2005,"Thriller, Science Fiction, Adventure, Action", Germany,80000000,5989640,4980191,4.8
A Sound of Thunder,2005,"Thriller, Science Fiction, Adventure, Action", United Kingdom,80000000,5989640,4980191,4.8
A Sound of Thunder,2005,"Thriller, Science Fiction, Adventure, Action", United States of America,80000000,5989640,4980191,4.8
Spanglish,2004,Comedy,United States of America,80000000,55041367,11202764,5.8
The Interpreter,2005,"Crime, Thriller",France,80000000,162944923,12047671,6.2
The Interpreter,2005,"Crime, Thriller", Germany,80000000,162944923,12047671,6.2
The Interpreter,2005,"Crime, Thriller", United Kingdom,80000000,162944923,12047671,6.2
The Interpreter,2005,"Crime, Thriller", United States of America,80000000,162944923,12047671,6.2
Meet the Fockers,2004,"Comedy, Romance",United States of America,80000000,516642939,11876386,6.1
The Great Raid,2005,"Action, History, War",United States of America,80000000,10166502,14987902,6.8
Ice Age: The Meltdown,2006,"Animation, Family, Comedy, Adventure",United States of America,80000000,660940780,16646029,6.5
The Wild,2006,"Family, Animation",Canada,80000000,37384046,7904333,5.1
The Wild,2006,"Family, Animation", United States of America,80000000,37384046,7904333,5.1
Over the Hedge,2006,"Comedy, Animation, Family",United States of America,80000000,343397247,9382953,6.3
The Invasion,2007,"Science Fiction, Thriller",United States of America,80000000,15071514,5228837,5.7
The Invasion,2007,"Science Fiction, Thriller", Australia,80000000,15071514,5228837,5.7
Get Smart,2008,"Action, Comedy, Thriller",Canada,80000000,230685453,1135779,6
Get Smart,2008,"Action, Comedy, Thriller", Russia,80000000,230685453,1135779,6
Get Smart,2008,"Action, Comedy, Thriller", United States of America,80000000,230685453,1135779,6
Eagle Eye,2008,"Mystery, Thriller, Action",United States of America,80000000,178066569,14324875,6.3
Eagle Eye,2008,"Mystery, Thriller, Action", Germany,80000000,178066569,14324875,6.3
Four Christmases,2008,"Comedy, Romance, Drama",United States of America,80000000,163733697,7210383,5.3
The Day the Earth Stood Still,2008,"Drama, Science Fiction, Thriller",Canada,80000000,233093859,9265322,5.2
The Day the Earth Stood Still,2008,"Drama, Science Fiction, Thriller", United States of America,80000000,233093859,9265322,5.2
Bedtime Stories,2008,"Fantasy, Comedy, Family, Romance",United States of America,80000000,212874442,10739419,5.9
Red Cliff Part II,2009,"War, Action, Drama, History, Thriller",China,80000000,121059225,7309903,7.1
Public Enemies,2009,"History, Crime, Drama",United States of America,80000000,214104620,10364794,6.5
Surrogates,2009,"Action, Science Fiction, Thriller",United States of America,80000000,122444772,16211937,5.9
Nine,2009,"Drama, Music, Romance",Italy,80000000,53825515,5658857,5.1
Nine,2009,"Drama, Music, Romance", United States of America,80000000,53825515,5658857,5.1
The Lord of the Rings: The Two Towers,2002,"Adventure, Fantasy, Action",New Zealand,79000000,926287400,29423537,8
The Lord of the Rings: The Two Towers,2002,"Adventure, Fantasy, Action", United States of America,79000000,926287400,29423537,8
Cold Mountain,2003,Drama,United States of America,79000000,173013509,9645543,6.7
Cold Mountain,2003,Drama, United Kingdom,79000000,173013509,9645543,6.7
Cold Mountain,2003,Drama, Romania,79000000,173013509,9645543,6.7
Cold Mountain,2003,Drama, Italy,79000000,173013509,9645543,6.7
Duplicity,2009,"Romance, Comedy, Crime",Germany,78146652,60000000,9097953,5.7
Duplicity,2009,"Romance, Comedy, Crime", United States of America,78146652,60000000,9097953,5.7
Red Dragon,2002,"Crime, Thriller, Horror",Germany,78000000,209196298,2968157,6.7
Red Dragon,2002,"Crime, Thriller, Horror", United States of America,78000000,209196298,2968157,6.7
Daredevil,2003,"Fantasy, Action, Crime, Science Fiction, Thriller",United States of America,78000000,179179718,11415558,5
The League of Extraordinary Gentlemen,2003,"Fantasy, Action, Thriller, Science Fiction",Czech Republic,78000000,179265204,10488765,5.7
The League of Extraordinary Gentlemen,2003,"Fantasy, Action, Thriller, Science Fiction", Germany,78000000,179265204,10488765,5.7
The League of Extraordinary Gentlemen,2003,"Fantasy, Action, Thriller, Science Fiction", United Kingdom,78000000,179265204,10488765,5.7
The League of Extraordinary Gentlemen,2003,"Fantasy, Action, Thriller, Science Fiction", United States of America,78000000,179265204,10488765,5.7
The Adventures of Rocky & Bullwinkle,2000,"Action, Adventure, Animation, Comedy, Family",Germany,76000000,35134820,11880936,3.9
The Adventures of Rocky & Bullwinkle,2000,"Action, Adventure, Animation, Comedy, Family", United States of America,76000000,35134820,11880936,3.9
2 Fast 2 Furious,2003,"Action, Crime, Thriller",United States of America,76000000,236350661,232462,6.2
Children of Men,2006,"Drama, Action, Thriller, Science Fiction",United Kingdom,76000000,69959751,14114606,7.4
Children of Men,2006,"Drama, Action, Thriller, Science Fiction", United States of America,76000000,69959751,14114606,7.4
The Rock,1996,"Action, Adventure, Thriller",United States of America,75000000,335062621,13249824,6.9
Independence Day,1996,"Action, Adventure, Science Fiction",United States of America,75000000,816969268,17634197,6.7
Con Air,1997,"Action, Thriller, Crime",United States of America,75000000,224012234,11545982,6.5
Conspiracy Theory,1997,"Action, Drama, Mystery, Thriller",United States of America,75000000,136982834,14261798,6.5
Sphere,1998,Science Fiction,United States of America,75000000,13100000,7124735,5.8
Deep Impact,1998,"Action, Drama, Romance",United States of America,75000000,140464664,11644633,5.9
Practical Magic,1998,"Drama, Fantasy, Comedy",United States of America,75000000,46683377,7757795,6.3
Soldier,1998,"Action, War, Science Fiction",United States of America,75000000,14567883,7970031,6.1
Virus,1999,"Horror, Action, Science Fiction",United States of America,75000000,14010690,7116537,5
Virus,1999,"Horror, Action, Science Fiction", United Kingdom,75000000,14010690,7116537,5
Virus,1999,"Horror, Action, Science Fiction", Germany,75000000,14010690,7116537,5
Virus,1999,"Horror, Action, Science Fiction", Japan,75000000,14010690,7116537,5
Virus,1999,"Horror, Action, Science Fiction", France,75000000,14010690,7116537,5
Forces of Nature,1999,"Romance, Comedy",United States of America,75000000,93888180,7906035,5.1
The Out-of-Towners,1999,Comedy,United States of America,75000000,29000000,9019881,5.1
The Astronaut's Wife,1999,"Drama, Science Fiction, Thriller",United States of America,75000000,19598588,14705865,5.5
Three Kings,1999,"Action, Adventure, Comedy",United States of America,75000000,108000000,12287636,6.6
Backdraft,1991,"Action, Crime, Drama, Mystery, Thriller",United States of America,75000000,152368585,9883727,6.4
Titan A.E.,2000,"Animation, Action, Science Fiction, Family, Adventure",United States of America,75000000,36754634,7515631,6.3
X-Men,2000,"Adventure, Action, Science Fiction",United States of America,75000000,296339527,1,6.8
Unbreakable,2000,"Science Fiction, Thriller, Drama",United States of America,75000000,248118121,1467855,6.9
Vertical Limit,2000,"Action, Adventure, Thriller",New Zealand,75000000,215663859,6548229,5.9
Vertical Limit,2000,"Action, Adventure, Thriller", Pakistan,75000000,215663859,6548229,5.9
Vertical Limit,2000,"Action, Adventure, Thriller", United States of America,75000000,215663859,6548229,5.9
Monkeybone,2001,"Adventure, Fantasy, Animation, Action, Comedy",United States of America,75000000,5409517,8893957,4.2
Osmosis Jones,2001,"Adventure, Animation, Action, Comedy, Family",United States of America,75000000,13596911,6405831,6
Bandits,2001,"Action, Comedy, Crime, Romance",United States of America,75000000,67631903,13136791,6.2
Domestic Disturbance,2001,"Mystery, Thriller, Crime",United States of America,75000000,54249294,6353996,5.4
We Were Soldiers,2002,"Action, History, War",Germany,75000000,114660784,1134706,6.7
We Were Soldiers,2002,"Action, History, War", United States of America,75000000,114660784,1134706,6.7
Anger Management,2003,Comedy,United States of America,75000000,195745823,9409379,5.9
Hollywood Homicide,2003,"Action, Adventure, Comedy, Thriller",United States of America,75000000,51142659,11080439,5
50 First Dates,2004,"Comedy, Romance",United States of America,75000000,196482882,11134888,6.6
The Bourne Supremacy,2004,"Action, Drama, Thriller",Germany,75000000,288500217,2040426,7.2
The Bourne Supremacy,2004,"Action, Drama, Thriller", United States of America,75000000,288500217,2040426,7.2
Shark Tale,2004,"Animation, Action, Comedy, Family",United States of America,75000000,367275019,17999273,5.8
Robots,2005,"Animation, Comedy, Family, Science Fiction",United States of America,75000000,260696994,12949715,6
Madagascar,2005,"Family, Animation",United States of America,75000000,532680671,16136217,6.6
The Legend of Zorro,2005,"Action, Adventure",Mexico,75000000,142400065,8940007,5.9
The Legend of Zorro,2005,"Action, Adventure", United States of America,75000000,142400065,8940007,5.9
Lady in the Water,2006,"Drama, Thriller, Fantasy, Mystery",United States of America,75000000,42285169,8704554,5.3
Monster House,2006,"Animation, Comedy, Family, Fantasy",United States of America,75000000,140175006,15402378,6.3
Déjà Vu,2006,"Action, Thriller, Science Fiction",United States of America,75000000,180557550,14922904,6.6
The Simpsons Movie,2007,"Animation, Comedy, Family",United States of America,75000000,527068851,14302911,6.9
Charlie Wilson's War,2007,"Comedy, Drama, History",United States of America,75000000,119000410,9979162,6.5
Wanted,2008,"Action, Thriller, Crime",Germany,75000000,258270008,12457896,6.4
Wanted,2008,"Action, Thriller, Crime", United States of America,75000000,258270008,12457896,6.4
Valkyrie,2008,"Drama, Thriller, History, War",Germany,75000000,200276000,8635464,6.7
Valkyrie,2008,"Drama, Thriller, History, War", United States of America,75000000,200276000,8635464,6.7
Funny People,2009,"Comedy, Drama",United States of America,75000000,61458982,9900376,5.6
Alvin and the Chipmunks: The Squeakquel,2009,"Comedy, Family, Animation, Fantasy, Music",United States of America,75000000,443140005,9909961,5.3
Two Brothers,2004,"Adventure, Drama, Family",France,74500000,62172050,5300303,6.9
Two Brothers,2004,"Adventure, Drama, Family", United Kingdom,74500000,62172050,5300303,6.9
The Lost World: Jurassic Park,1997,"Adventure, Action, Science Fiction",United States of America,73000000,229074524,1,6.2
Snake Eyes,1998,"Crime, Mystery",Canada,73000000,103891409,11604533,5.8
Snake Eyes,1998,"Crime, Mystery", United States of America,73000000,103891409,11604533,5.8
The Bone Collector,1999,"Drama, Mystery, Thriller, Crime",United States of America,73000000,151493655,8884406,6.5
Talladega Nights: The Ballad of Ricky Bobby,2006,Comedy,United States of America,72500000,162966177,6936688,6.2
Braveheart,1995,"Action, Drama, History, War",United States of America,72000000,210000000,20755149,7.7
The Last Castle,2001,"Action, Drama, Thriller",United States of America,72000000,27642707,9807552,7
The Majestic,2001,"Drama, Romance",United States of America,72000000,37317558,8063684,6.6
Signs,2002,"Drama, Thriller, Science Fiction, Mystery",United States of America,72000000,408247917,11211568,6.4
Jarhead,2005,"Drama, War",Germany,72000000,96889998,9997032,6.6
Jarhead,2005,"Drama, War", United States of America,72000000,96889998,9997032,6.6
Doctor Dolittle,1998,"Comedy, Family, Fantasy",United States of America,71000000,294456605,9439079,5.4
Cliffhanger,1993,"Action, Adventure, Thriller",France,70000000,255000211,9830853,6.1
Cliffhanger,1993,"Action, Adventure, Thriller", Italy,70000000,255000211,9830853,6.1
Cliffhanger,1993,"Action, Adventure, Thriller", United States of America,70000000,255000211,9830853,6.1
The Abyss,1989,"Adventure, Action, Thriller, Science Fiction",United States of America,70000000,90000098,9809585,7.1
Die Hard 2,1990,"Action, Thriller",United States of America,70000000,240031094,18785984,6.6
Mars Attacks!,1996,"Comedy, Fantasy, Science Fiction",United States of America,70000000,101371017,1563424,6.1
Seven Years in Tibet,1997,"Adventure, Drama, History",United States of America,70000000,131457682,11483493,7
Alien: Resurrection,1997,"Science Fiction, Horror, Action",United States of America,70000000,162000000,1557784,5.9
Hard Rain,1998,Thriller,Denmark,70000000,19870567,6363405,5.5
Hard Rain,1998,Thriller, France,70000000,19870567,6363405,5.5
Hard Rain,1998,Thriller, New Zealand,70000000,19870567,6363405,5.5
Hard Rain,1998,Thriller, United Kingdom,70000000,19870567,6363405,5.5
Hard Rain,1998,Thriller, United States of America,70000000,19870567,6363405,5.5
Six Days Seven Nights,1998,"Action, Adventure, Comedy, Romance",United States of America,70000000,164000000,18324219,5.6
Saving Private Ryan,1998,"Drama, History, War",United States of America,70000000,481840909,21758054,7.9
The Siege,1998,"Drama, Action, Thriller, Crime",United States of America,70000000,116672912,9019114,6.1
Star Trek: Insurrection,1998,"Science Fiction, Action, Adventure, Thriller",United States of America,70000000,118000000,9538877,6.3
The Prince of Egypt,1998,"Adventure, Animation, Drama, Family, Music",United States of America,70000000,218613188,11898185,6.9
A Civil Action,1998,Drama,United States of America,70000000,56702901,9353499,6.1
Runaway Bride,1999,"Comedy, Romance",United States of America,70000000,309457509,8919469,5.8
The Iron Giant,1999,"Adventure, Animation, Family, Fantasy, Science Fiction",United States of America,70000000,23159305,15441459,7.6
Chill Factor,1999,"Action, Comedy, Thriller",United States of America,70000000,11263966,3062626,5.3
Double Jeopardy,1999,"Crime, Drama, Mystery, Thriller",Canada,70000000,177841558,10876463,6.2
