title,revenue,budget,popularity,voteAverage
Tomorrow Never Dies,333011068,110000000,17159576,6
The Patriot,215294342,110000000,15960788,6.8
X2,407711549,110000000,913096,6.8
Home on the Range,103951461,110000000,8555544,5.7
Around the World in 80 Days,72178895,110000000,7825072,5.7
Ocean's Twelve,362744280,110000000,11869347,6.4
Mr. & Mrs. Smith,478207520,110000000,15724373,6.5
Night at the Museum,574480841,110000000,16661966,6.4
Ghost Rider,228738393,110000000,11902354,5.2
Live Free or Die Hard,383531464,110000000,14886039,6.4
Ali,87713825,107000000,9303104,6.7
Starship Troopers,121214377,105000000,14412644,6.7
The Chronicles of Riddick,115772733,105000000,5060352,6.3
"10,000 BC",266000000,105000000,1399377,5.1
The Princess and the Frog,267045765,105000000,16616517,6.7
Gladiator,457640427,103000000,23186667,7.9
Swordfish,147080413,102000000,9646208,6.1
Minority Report,358372926,102000000,20666063,7.1
Batman Forever,336529144,100000000,13321354,5.2
Terminator 2: Judgment Day,520000000,100000000,22661695,7.7
The Hunchback of Notre Dame,100138851,100000000,13553999,6.8
Eraser,242295562,100000000,6919314,5.6
Sleepy Hollow,206071502,100000000,11072361,6.9
End of Days,211989043,100000000,962371,5.5
Bicentennial Man,93700000,100000000,9369918,6.9
What Lies Beneath,155464351,100000000,9500497,6.3
The Emperor's New Groove,169327687,100000000,12297375,7.2
A.I. Artificial Intelligence,235926552,100000000,13249364,6.8
Planet of the Apes,362211740,100000000,17319836,5.6
K-19: The Widowmaker,35168966,100000000,7718723,6.1
The Adventures of Pluto Nash,7103973,100000000,8903754,4.4
Harry Potter and the Chamber of Secrets,876688482,100000000,29741452,7.4
Gangs of New York,193772504,100000000,14922399,7.1
Peter Pan,121975011,100000000,898628,6.9
Hidalgo,108103450,100000000,8140709,6.5
Catwoman,82102379,100000000,13340272,4.2
National Treasure,347451894,100000000,18932203,6.4
Constantine,230884728,100000000,9615691,6.6
Fantastic Four,330579719,100000000,19382082,5.5
Fun with Dick and Jane,202026112,100000000,13473381,5.9
Happy Feet,384335608,100000000,15088318,5.9
Blood Diamond,170877916,100000000,12477872,7.4
Eragon,249288105,100000000,9851133,4.9
American Gangster,266465037,100000000,9644542,7.4
Fred Claus,97838349,100000000,5502098,5.5
Land of the Lost,68688831,100000000,7642063,5.4
