title,revenue,budget,popularity,voteAverage
Death Becomes Her,149022650,55000000,11017417,6.3
Shanghai Noon,56932305,55000000,10308442,6.2
Meet the Parents,330444045,55000000,14178281,6.6
Ishtar,14375181,55000000,3986985,4.3
Tango & Cash,63408614,55000000,7507261,6.1
Maid in Manhattan,154906693,55000000,7291939,5.6
The Hunted,34234008,55000000,7481524,6
American Wedding,231449203,55000000,14397139,6
Stuck on You,33828318,55000000,696675,5.1
D-Tox,6416302,55000000,13374415,5.4
Flightplan,223387299,55000000,12419851,6.1
16 Blocks,65664721,55000000,11887779,6.2
The Pursuit of Happyness,307077295,55000000,20981716,7.7
All the King's Men,9450897,55000000,7991168,5.7
3:10 to Yuma,70016220,55000000,18079094,6.9
Elizabeth: The Golden Age,74237563,55000000,7608243,6.6
The Forbidden Kingdom,127906624,55000000,6997601,6.3
City of Ember,17869048,55000000,8061467,6.2
Changeling,113020255,55000000,11672394,7.3
Seven Pounds,168167691,55000000,21708267,7.5
The Nutty Professor,128769345,54000000,9651581,5.4
101 Dalmatians,320689294,54000000,11470748,5.6
The Godfather: Part III,136766062,54000000,17185349,7.1
Superman II,190458706,54000000,10301621,6.5
Blade II,155010032,54000000,1705064,6.3
Gigli,7266209,54000000,11415316,3.5
V for Vendetta,132511035,54000000,20214422,7.7
"You, Me and Dupree",130431368,54000000,8570085,5.4
Crimson Tide,157387195,53000000,8657365,7
Anastasia,139804348,53000000,11911173,7.4
Blow,83282296,53000000,12332223,7.4
Angel Eyes,29700000,53000000,53962,5.5
Be Cool,95226116,53000000,13314233,5.4
Law Abiding Citizen,126690726,53000000,16639047,7.2
Moulin Rouge!,179213434,52500000,13691781,7.4
Casino,116112375,52000000,10137389,7.8
Apollo 13,355237933,52000000,18761467,7.3
The Thin Red Line,98126565,52000000,9783966,7.2
Erin Brockovich,256271286,52000000,10135446,7.1
Catch Me If You Can,352114312,52000000,19833077,7.7
Hostage,77944725,52000000,9686638,6.2
The Break-Up,204999686,52000000,6327193,5.6
Mamma Mia!,609841637,52000000,10534437,6.4
Eastern Promises,55112356,51500000,9897909,7.2
The Bachelor,36911617,51000000,5061725,4.5
"Me, Myself & Irene",149270999,51000000,995456,6.1
Barnyard,72779000,51000000,6984949,5.3
Assassins,30303072,50000000,11065939,6
Fair Game,11534477,50000000,5912223,4.1
Broken Arrow,150270147,50000000,14957626,5.7
Jade,9851610,50000000,11418917,5.1
Casper,287928194,50000000,12812539,6
Congo,152022101,50000000,7260574,5
The Scarlet Letter,10382407,50000000,6752119,5.5
Outbreak,189859560,50000000,13676444,6.4
Beverly Hills Cop III,119208989,50000000,11787784,5.5
Terminal Velocity,16478900,50000000,8012225,5
Striptease,113309743,50000000,11341502,4.4
Chain Reaction,60209334,50000000,15874491,5.3
Escape from L.A.,42277365,50000000,12229381,5.6
The Chamber,22540359,50000000,3998494,5.9
The Ghost and the Darkness,75000000,50000000,10789928,6.4
Alien³,159773545,50000000,17126768,6.2
Jerry Maguire,273552592,50000000,11807601,6.7
Absolute Power,50068310,50000000,766124,6.4
G.I. Jane,48169156,50000000,937934,6
The Game,109423648,50000000,14825587,7.5
Mad City,10541523,50000000,4909738,5.9
As Good as It Gets,314178011,50000000,9374049,7.2
Gremlins 2: The New Batch,41482207,50000000,14383185,6.3
The Negotiator,44547681,50000000,765502,6.8
Santa Claus: The Movie,23717291,50000000,11690532,6.1
Patch Adams,202292902,50000000,1252181,7
The Mod Squad,13260050,50000000,3826503,4.1
The Story of Us,58900031,50000000,5769957,5.9
The Hurricane,73956241,50000000,5716009,7.2
Annie,57059003,50000000,8997507,6.2
Exit Wounds,79958599,50000000,12280827,5.3
Don't Say a Word,100020092,50000000,6824871,6
Baby's Day Out,16671505,50000000,12508518,5.8
Murder by Numbers,56714147,50000000,9645801,6
Unfaithful,119137784,50000000,896839,6.3
Mr. Deeds,171269535,50000000,6674356,5.6
Blood Work,26199517,50000000,5852263,6.1
How to Lose a Guy in 10 Days,177371441,50000000,5188107,6.3
Shanghai Knights,88323487,50000000,7469778,6
The Life of David Gale,38955598,50000000,9930326,7.3
Basic,42792561,50000000,14327717,6.2
Out of Time,55495563,50000000,10738888,6.1
The Big Bounce,6808550,50000000,6496271,5
Twisted,25195000,50000000,5376246,5.3
On Deadly Ground,49000000,50000000,6678661,4.6
Raising Helen,49718611,50000000,12448933,5.9
Garfield,200804534,50000000,10003679,5.2
Shall We Dance?,170128460,50000000,9082538,5.9
Bridget Jones: The Edge of Reason,40203020,50000000,778817,6.1
The Ring Two,161451538,50000000,1615818,5.5
The Life Aquatic with Steve Zissou,34808403,50000000,6936677,7.1
The Hitchhiker's Guide to the Galaxy,104478416,50000000,13257255,6.6
The Adventures of Sharkboy and Lavagirl,69425966,50000000,6477862,4.4
Herbie Fully Loaded,66002004,50000000,935239,5.1
The Dukes of Hazzard,110803676,50000000,9039467,5.1
Domino,22944502,50000000,6394143,6
Oliver Twist,42093706,50000000,12369935,6.7
Into the Blue,44434439,50000000,10022102,5.8
Stay,8342132,50000000,6572049,6.5
Syriana,94000000,50000000,5768575,6.3
Underworld: Evolution,111340801,50000000,12496805,6.4
Curious George,69834815,50000000,12602502,6.1
Failure to Launch,128406887,50000000,9438013,5.5
The Shaggy Dog,61112916,50000000,4878907,4.5
Silent Hill,97607453,50000000,7938457,6.3
RV,87528173,50000000,11511424,5.6
The Ant Bully,55181129,50000000,7000272,5.5
The Black Dahlia,49111202,50000000,6506572,5.7
Perfume: The Story of a Murderer,132180323,50000000,10297304,7.1
Hannibal Rising,82169884,50000000,2159558,6
Sunshine,32017803,50000000,12715571,7
Goya's Ghosts,9448082,50000000,591265,6.6
Hairspray,90450008,50000000,7768045,6.5
Sweeney Todd: The Demon Barber of Fleet Street,152000000,50000000,10038401,7
Rambo,113244290,50000000,991556,6.4
Outlander,7033683,50000000,14611182,6.1
The International,60161391,50000000,6583609,6
Street Fighter: The Legend of Chun-Li,12764201,50000000,6660188,3.9
Knowing,155446362,50000000,9806904,5.9
The Boat That Rocked,36348784,50000000,8395618,7.2
Race to Witch Mountain,106303988,50000000,8176147,5.4
Gamer,40828540,50000000,9730681,5.6
The Twilight Saga: New Moon,709827462,50000000,30121292,5.6
Basic Instinct,352927224,49000000,16628427,6.5
The One,72700000,49000000,9769047,5.7
The Adventures of Ford Fairlane,20423389,49000000,3834949,6.2
Super Mario Bros.,20915465,48000000,7198455,4
Robin Hood: Prince of Thieves,390493908,48000000,10639244,6.6
Indiana Jones and the Last Crusade,474171806,48000000,14788987,7.6
Out of Sight,77745568,48000000,7349812,6.5
The Thomas Crown Affair,124305181,48000000,10961226,6.7
Bedazzled,90383208,48000000,8781588,5.6
Traffic,207515725,48000000,8338222,6.9
Rat Race,85498534,48000000,12330275,6
Riding in Cars with Boys,35743308,48000000,4556123,6.5
K-PAX,50315140,48000000,12400152,7.1
Panic Room,196397415,48000000,14969502,6.6
The Ring,249348933,48000000,13740965,6.5
Scary Movie 3,220673217,48000000,11142209,5.8
Mary Reilly,12379402,47000000,12866139,5.7
The Cable Guy,102825796,47000000,7586577,5.7
Dick Tracy,103738726,47000000,8304776,5.9
The Bonfire of the Vanities,15691192,47000000,5507082,5.3
Solaris,30002758,47000000,10642824,5.9
1492: Conquest of Paradise,7191399,47000000,11618792,6.1
Happily N'Ever After,38085778,47000000,13139893,4.6
The Adventures of Baron Munchausen,8083123,46630000,7753416,6.9
The Flintstones,341631208,46000000,15019586,5
Courage Under Fire,100860818,46000000,11595316,6.2
Star Trek: First Contact,150000000,46000000,8808497,7
Shaft,107196498,46000000,7420019,5.5
Insomnia,113714830,46000000,11424974,6.8
Showgirls,20350754,45000000,17502375,4.9
Mary Shelley's Frankenstein,112006296,45000000,14287753,6.1
The Specialist,170362582,45000000,10388183,5.5
The Client,117615211,45000000,15263829,6.4
I Love Trouble,61947267,45000000,3570874,5.3
The Lion King,788241776,45000000,21605761,8
The Phantom,17300889,45000000,8079541,4.7
Jack,58620973,45000000,6287245,5.9
Tin Cup,53854588,45000000,624966,5.9
Shadow Conspiracy,2154540,45000000,3733574,4
Liar Liar,302710615,45000000,10102471,6.4
Anaconda,136885767,45000000,14386089,4.8
Deep Rising,11203026,45000000,6922458,6
Blade,131183530,45000000,15043454,6.5
The Pelican Brief,195268056,45000000,8708306,6.3
Universal Soldier: The Return,10667893,45000000,7805145,4.2
Galaxy Quest,90683916,45000000,15831374,6.9
Patriot Games,178051587,45000000,11075674,6.4
Chicken Run,224834564,45000000,11834245,6.5
Coyote Ugly,113916474,45000000,15650836,5.8
Miss Congeniality,212000000,45000000,9510762,6.1
Scary Movie 2,141220678,45000000,10869056,5.4
Training Day,104876233,45000000,13664622,7.3
Intersection,21355893,45000000,8295437,5.1
Changing Lanes,94935764,45000000,781862,5.9
Chicago,306776732,45000000,13325347,6.9
"Legally Blonde 2: Red, White & Blonde",124914842,45000000,7288046,5.2
Taking Lives,65470529,45000000,785646,6
Resident Evil: Apocalypse,129394835,45000000,7850797,6.1
Surviving Christmas,14793624,45000000,8698971,5.1
Flight of the Phoenix,21009180,45000000,15434731,5.7
Unleashed,50871113,45000000,790583,6.6
Kicking & Screaming,56070433,45000000,9875573,5.6
Rebound,16809014,45000000,4373457,5.2
Four Brothers,92374674,45000000,684109,6.7
"Yours, Mine & Ours",72028752,45000000,10238422,5.7
The Producers,38058335,45000000,5037224,6.1
Last Holiday,38399961,45000000,553836,6.4
Firewall,82800000,45000000,6500892,5.6
Inside Man,184376254,45000000,13393548,7.3
Scary Movie 4,178262620,45000000,13096692,5.3
Pathfinder,30822861,45000000,11101549,5.4
Resident Evil: Extinction,148412065,45000000,3009134,6.1
Love in the Time of Cholera,4607608,45000000,520735,6.5
The Bucket List,175372502,45000000,9070643,7
Journey to the Center of the Earth,101702060,45000000,10419974,5.8
Death Race,73762516,45000000,1353003,6
Bangkok Dangerous,42487390,45000000,6576009,5
Miracle at St. Anna,9323833,45000000,11221186,6.3
Aliens in the Attic,57881056,45000000,11618472,5.3
Nixon,13681765,44000000,5092,7.1
The Fugitive,368875760,44000000,1008937,7.2
Sleepers,165615285,44000000,9198283,7.3
Rambo: First Blood Part II,300400432,44000000,11924462,6.3
Battlefield Earth,21400000,44000000,5276926,3
Heaven's Gate,3484331,44000000,4393576,6.5
Finding Forrester,80049764,43000000,10536255,7
The Sweetest Thing,68696770,43000000,8889064,5.3
Elektra,56681566,43000000,13802674,4.9
Monster-in-Law,154749918,43000000,6328385,5.6
The Skeleton Key,91974818,43000000,10947957,6.4
Strange Days,7959291,42000000,11223055,6.8
The Firm,270248367,42000000,9678367,6.6
The Rocketeer,62000000,42000000,10536644,6.3
Rocky V,119946358,42000000,14007329,5.3
Notting Hill,363889678,42000000,9874043,7
Reindeer Games,32168970,42000000,1211759,5.3
Original Sin,35402320,42000000,9970359,5.8
High Crimes,63781810,42000000,8371005,6.1
Along Came Polly,171963386,42000000,15725542,5.8
The Forgotten,117575636,42000000,640146,5.5
Lord of War,24127895,42000000,8745216,7
Ponyo,187479518,41677699,8470945,7.5
The Whole Nine Yards,106371651,41300000,12061521,6.3
8 Mile,215000000,41000000,8374355,6.8
"I Love You, Man",91636986,41000000,12929653,6.5
Trading Places,90400000,40600000,14285052,7.1
Boomerang,70100000,40000000,6506983,5.4
Color of Night,19726050,40000000,14228963,5.4
In the Line of Fire,176997168,40000000,12637158,6.8
Renaissance Man,24332324,40000000,4985157,5.9
Sliver,116300000,40000000,1123297,4.9
A Time to Kill,152266007,40000000,13309013,7
The Island of Dr. Moreau,49627779,40000000,12725343,4.6
Dracula,215862692,40000000,16777675,7.1
The Preacher's Wife,48093211,40000000,4182641,5.4
The Last of the Mohicans,75505856,40000000,15228794,7.1
Spawn,87840042,40000000,11366417,5
The Rainmaker,45916769,40000000,6683398,6.7
Quest for Camelot,38172500,40000000,1302535,6.9
Small Soldiers,54682547,40000000,1003936,6.2
Back to the Future Part II,332000000,40000000,13689855,7.4
Back to the Future Part III,244527583,40000000,13043999,7.1
Dune,30925690,40000000,9261189,6.5
Honey I Blew Up the Kid,58662452,40000000,12337898,4.8
The Little Mermaid,222300000,40000000,17496832,7.2
Nothing but Trouble,8479793,40000000,1039662,5
A Few Good Men,243240178,40000000,12330249,7.1
8MM,96618699,40000000,7473718,6.1
The Sixth Sense,672806292,40000000,18449169,7.7
The Talented Mr. Ripley,128798265,40000000,1165502,7.1
A League of Their Own,107458785,40000000,10852038,6.8
Scream 3,161834276,40000000,9738371,5.7
The Beach,144056873,40000000,14430311,6.3
Hanging Up,36037909,40000000,6474767,5
JFK,205405498,40000000,13813146,7.5
The Art of War,30199105,40000000,9800232,5.6
Pay It Forward,55707411,40000000,10479723,7
The Living Daylights,191185897,40000000,12189038,6.2
Sweet November,65754228,40000000,14840318,6.4
For the Boys,23202444,40000000,10336913,6.5
The Musketeer,27053815,40000000,4260945,5.2
Big Trouble,8493890,40000000,5761051,6.3
Shallow Hal,141069860,40000000,12520688,5.7
Behind Enemy Lines,91753202,40000000,11185625,6
Life or Something Like It,16872671,40000000,6332398,5.7
FearDotCom,18902015,40000000,5160215,3.2
City By The Sea,22433915,40000000,3903016,5.7
Extreme Ops,10959475,40000000,2947411,5
Pinocchio,41323171,40000000,6463613,5.6
Johnny English,160583018,40000000,8739991,6
Memoirs of an Invisible Man,14358033,40000000,6064099,5.7
Duplex,19322135,40000000,12160363,5.9
Love Actually,244931766,40000000,10586815,7
Gothika,141591324,40000000,10939066,5.8
Cheaper by the Dozen,190212113,40000000,7364297,6
Torque,46546197,40000000,5574983,4.7
Secret Window,92913171,40000000,9524283,6.4
The Whole Ten Yards,26155781,40000000,715606,5.5
Enemy Mine,12303411,40000000,9802889,6.7
The Princess Diaries 2: Royal Engagement,95149435,40000000,8248895,6
Ray,124731534,40000000,10603762,7.2
Havana,9243140,40000000,1010753,5.5
Sin City,158733820,40000000,15010525,7.2
House of Wax,68766121,40000000,7163099,5.5
Wedding Crashers,285176741,40000000,11100597,6.4
Corpse Bride,117195061,40000000,12920032,7.2
Get Rich or Die Tryin',46442528,40000000,9820229,6.3
Rent,31670620,40000000,9530278,6.7
Big Momma's House 2,138259062,40000000,7622875,5.4
Eight Below,120455994,40000000,13876881,6.7
The Lake House,114830111,40000000,12589019,6.5
Marie Antoinette,60474340,40000000,8852557,6.5
Black Gold,5446000,40000000,6652197,5.9
The Illusionist,86915017,40000000,11494009,7.1
The Wicker Man,38755073,40000000,9423256,4
Apocalypto,120175290,40000000,7735233,7.3
Stormbreaker,23937870,40000000,8778999,5.1
The Prestige,109676311,40000000,1694556,8
Music and Lyrics,145896422,40000000,7196688,6.2
The Reaping,62771059,40000000,9825841,5.4
Aliens vs Predator: Requiem,41797066,40000000,10793324,4.9
The Water Horse,103071443,40000000,5083211,6.3
Vantage Point,151161491,40000000,7001645,6.3
Pirates,1641825,40000000,3916952,6.2
Made of Honor,84601681,40000000,6417385,6
The Children of Huang Shi,7400000,40000000,14622493,6.5
The Express,9793496,40000000,4929912,7.1
He's Just Not That Into You,177259441,40000000,8376094,6.2
Confessions of a Shopaholic,108332743,40000000,8198789,6.1
The Proposal,317375031,40000000,8058337,6.7
Julie & Julia,129540499,40000000,8142089,6.6
Christopher Columbus: The Discovery,8251071,40000000,5996407,4.3
The Final Destination,186167139,40000000,8805723,5.4
Whiteout,12206028,40000000,7759722,5.3
Shorts,28972508,40000000,4021983,5.1
Amelia,19258519,40000000,5308718,5.4
Cirque du Freak: The Vampire's Assistant,28169671,40000000,10829432,5.5
Fantastic Mr. Fox,46471023,40000000,8695893,7.5
Ninja Assassin,60462347,40000000,9163897,6.2
Superman III,75850624,39000000,9614638,5.3
Coming to America,288752301,39000000,7830087,6.5
Against the Ropes,6614280,39000000,1381022,4.5
Serenity,38869464,39000000,11919995,7.4
Shoot 'Em Up,26820641,39000000,7259086,6.3
The Time Traveler's Wife,101229792,39000000,13682598,6.7
White Squall,10300000,38000000,9568604,6.3
Star Trek: Generations,120000000,38000000,8105708,6.4
James and the Giant Peach,28921264,38000000,13217623,6.2
Extreme Measures,17380126,38000000,4990506,5.7
The Doors,34416893,38000000,7829619,6.7
My Best Friend's Wedding,299288605,38000000,4678572,6.4
MouseHunt,122417389,38000000,6456233,6.2
Indecent Proposal,266614059,38000000,7118123,5.8
The Deep End of the Ocean,28121100,38000000,578468,6
Ride with the Devil,635096,38000000,7059308,6.6
Sister Act 2: Back in the Habit,57319029,38000000,12986842,5.9
The Ninth Gate,58401898,38000000,11316349,6.3
The Fast and the Furious,207283925,38000000,1406181,6.6
Another 48 Hrs.,153518974,38000000,6938921,5.8
Enough,51801187,38000000,6681287,6.2
Spy Kids 2: The Island of Lost Dreams,119723358,38000000,7164131,5.3
Spy Kids 3-D: Game Over,197011982,38000000,8025145,4.7
Pulse,29907685,38000000,10307277,5
Virgin Territory,5410749,38000000,6100498,4.3
Push,45465299,38000000,11596222,5.9
The Ugly Truth,205298907,38000000,8450799,6.4
The Rescuers Down Under,47431461,37931000,1562471,6.6
Freedomland,14655628,37665000,5388535,5.2
Switchback,6482195,37000000,3742824,5.8
Howard the Duck,37962774,37000000,10722672,5.1
Ghostbusters II,215394738,37000000,16414239,6.3
Magnolia,48451803,37000000,9091636,7.5
The Princess Diaries,165335153,37000000,7387171,6.5
13 Going on 30,96455697,37000000,12632595,6.3
White Chicks,113086475,37000000,7723341,6.3
Nim's Island,100076342,37000000,7558125,5.6
Space Chimps,63800345,37000000,6212702,5.1
Burn After Reading,163720069,37000000,13206799,6.5
Twilight,392616625,37000000,31282029,5.8
The Inhabited Island,21834845,36500000,2047794,5.4
Matilda,33459416,36000000,10034915,6.9
The People vs. Larry Flynt,20300385,36000000,9178371,6.8
Breakdown,50159144,36000000,7926621,6.6
Gattaca,12532777,36000000,1289312,7.5
Amistad,74000000,36000000,2263584,6.8
John Q,102244770,36000000,8867562,7
A Man Apart,44350926,36000000,17714247,5.8
Never Say Never Again,160000000,36000000,10231985,5.8
At Play in the Fields of the Lord,1345903,36000000,2151436,5.8
Winged Migration,20217080,35866397,368993,7.1
Sudden Death,64350171,35000000,523158,5.5
Species,113374103,35000000,13492845,5.5
The Swan Princess,9771658,35000000,8910462,6.5
Little Buddha,4858139,35000000,5681522,6
Street Fighter,99423521,35000000,1358449,4.1
Geronimo: An American Legend,18635620,35000000,4653462,5.9
Batman,411348924,35000000,1910673,7
The Horseman on the Roof,15000000,35000000,1690768,6.7
Cape Fear,182300000,35000000,10302735,7
Star Trek: The Motion Picture,139000000,35000000,8277765,6.2
Under Siege,156563139,35000000,9918269,6.1
Donnie Brasco,41954997,35000000,12201954,7.4
Anna Karenina,791830,35000000,5660835,6.4
L.A. Confidential,126216940,35000000,10989442,7.7
For Richer or Poorer,31611225,35000000,8412203,5.6
Midnight in the Garden of Good and Evil,25105255,35000000,5145907,6.3
Species II,19165560,35000000,13495247,4.5
Lethal Weapon 3,321731527,35000000,10786007,6.4
Willow,57269863,35000000,9918312,6.9
Blast from the Past,40263020,35000000,8355977,6.3
RoboCop 2,45681173,35000000,10969876,5.6
Predator 2,57120318,35000000,11736241,6
What About Bob?,63710000,35000000,11787942,6.7
Supergirl,14296438,35000000,11932675,4.7
Bounce,36779296,35000000,13349518,5.5
Dungeons & Dragons,15185241,35000000,4884311,3.9
The Pledge,29400000,35000000,12806634,6.6
The Wedding Planner,94728529,35000000,8056016,5.4
Empire of the Sun,22238696,35000000,10220906,7.3
Spy Kids,147934180,35000000,9576745,5.5
American Outlaws,13678913,35000000,10855383,5.7
From Hell,74558115,35000000,779014,6.6
Flash Gordon,27107960,35000000,6346979,6.1
The Count of Monte Cristo,75395048,35000000,10765924,7.3
Queen of the Damned,45479110,35000000,8436243,5.5
The Bad News Bears,35323292,35000000,8399441,7
The Four Feathers,29882645,35000000,6894153,6.5
Ghost Ship,68349884,35000000,13955376,5.3
Femme Fatale,16838910,35000000,6426438,6.2
The Best Little Whorehouse in Texas,69701637,35000000,2171346,5.9
The Pianist,120072577,35000000,14811594,8.1
Dennis the Menace,117270765,35000000,10378902,5.5
Down with Love,20298207,35000000,9392508,6.1
Oscar,23562716,35000000,6137796,6.2
The Order,11560806,35000000,5370818,4.8
School of Rock,131282949,35000000,1795142,6.8
Radio Flyer,4651977,35000000,5618237,6.6
1941,31755742,35000000,7812379,5.6
Jersey Girl,36098382,35000000,5706507,5.8
Little Black Book,22034832,35000000,5093704,5.2
Cursed,19294901,35000000,8949722,5.1
Guess Who,68915888,35000000,671898,5.5
Sky High,86369815,35000000,8061423,5.8
Valiant,19478106,35000000,11836827,5.2
Two for the Money,30526509,35000000,9003792,5.9
North Country,25224242,35000000,8781298,6.9
Bandidas,10496317,35000000,19294832,5.8
The Devil Wears Prada,326551094,35000000,13102384,7
Zoom,12506188,35000000,11967444,4.9
The Fountain,15304890,35000000,11577121,6.8
A Good Year,42064105,35000000,782187,6.5
License to Wed,69307224,35000000,7102076,5.3
Lions for Lambs,63215872,35000000,580986,6
Walk Hard: The Dewey Cox Story,18317151,35000000,7219935,6.6
Untraceable,32483410,35000000,785217,5.9
Welcome Home Roscoe Jenkins,43650785,35000000,4386145,5.7
21,69823199,35000000,833756,6.5
Superhero Movie,25871834,35000000,7876483,4.9
What Happens in Vegas,170000000,35000000,10054226,5.8
Mirrors,72436439,35000000,8612618,6
Max Payne,85416905,35000000,1008043,5.2
Revolutionary Road,75225693,35000000,12265867,6.8
Underworld: Rise of the Lycans,91353501,35000000,11654958,6.2
Hotel for Dogs,73034460,35000000,6317992,5.7
The Young Victoria,27409889,35000000,8437587,7.1
The Hangover,459270619,35000000,23947351,7.2
Hannah Montana: The Movie,155545279,35000000,6332878,6
Old Dogs,92219310,35000000,952295,5.2
Big Daddy,234801895,34200000,8011869,6.2
Natural Born Killers,50282766,34000000,11226856,6.9
The Age of Innocence,32255440,34000000,8013617,7
Malcolm X,48169908,34000000,14207001,7.3
Moonraker,210308099,34000000,10576273,5.9
Summer Catch,19693891,34000000,5499867,4.8
Paradise,18634643,34000000,7176726,5.6
TMNT,95608995,34000000,11358363,6
